항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승무원승선수,승무원하선수,승객승선수,승객하선수,승객,예선,도선,부선호출부호1,부선호출부호2
부산,230012,7민성호,2023,004,최종,내항,출항,198,2023-07-12 16:30,2024-06-18 11:00,,2024-06-19 09:14,기타,,MW5,01,5물량장 1선석,기타항,기타항,기타 유조선,2,1,0,0,0,0,0,N,N,,
부산,023137,킹스타호,2023,001,최종,내항,출항,183,2023-07-17 10:40,2024-02-19 12:40,,2024-03-26 10:19,기타,,*LP,01,대평동호안,기타항,기타항,이.접안용 예선,3,2,,,,,,N,N,,
부산,9LU2379,CHANGSHENG,2023,066,최종,외항,출항,999,2023-07-21 08:00,2024-06-29 13:25,2024-06-29 12:00,2024-07-01 13:35,기타,24KMAGH067E,WAN,01,남외항 N-1박지,KAOHSIUNG,울산,석유제품 운반선,,9,,,,,,Y,Y,,
부산,UBZR7,POLARIS,2023,002,최종,외항,출항,747,2023-07-27 14:49,2024-02-23 08:00,2024-02-23 07:00,2024-02-27 12:09,기타,24JPLKDD21E,*YQ,01,기타 남항 사설조선소,OCEAN DISTRICT,부산,원양 어선,,12,10,16,,,,N,N,,
부산,H8ON,GRACE MERCHANT,2023,026,최종,외항,출항,"6,672",2023-07-27 19:42,2024-08-26 04:25,2024-08-26 04:25,2024-08-28 10:11,기타,24EASKM001E,MBR,03,감만부두 3선석(신선대감만터미널),광양,VLADIVOSTOK,풀컨테이너선,8,8,,,,,,Y,Y,,
부산,UBXZ2,FORINT,2023,002,최종,외항,출항,672,2023-08-01 11:55,2024-02-18 13:00,2024-02-18 12:00,2024-02-19 10:38,기타,24SEVEP555E,MK5,01,감천 5부두 1선석,SLAVYANKA,OCEAN DISTRICT,원양 어선,,16,16,5,,,,Y,Y,,
부산,925302,보성3호,2023,002,최종,내항,출항,67,2023-08-04 08:55,2024-03-16 06:40,,2024-04-30 15:15,기타,,MBG,01,소형선부두 01,마산,기타항,석유제품 운반선,2,0,0,0,0,0,0,N,N,,
부산,230015,제1 그린윈드,2023,001,최종,내항,출항,115,2023-08-07 17:15,2024-06-25 16:00,,2024-06-25 16:41,기타,,MW5,01,5물량장 1선석,목포,여수,기타선,3,3,0,0,0,0,0,N,N,,
부산,5VEZ5,NO.58 IWAEI MARU,2023,002,최종,외항,출항,75,2023-08-11 20:14,2024-03-12 13:00,2024-03-12 13:00,2024-04-02 08:55,기타,24KSTA002EE,MQA,01,삼한안벽-01,기타항,부산,냉동.냉장선,1,,,,,,,Y,Y,,
부산,JVBP7,EVOLUTION 8,2023,004,최종,외항,출항,241,2023-08-14 07:00,2024-01-16 16:00,2024-01-16 15:00,2024-01-16 17:04,기타,24KNRSEV04E,WAN,01,남외항 N-1박지,OCEAN DISTRICT,HONG KONG,일반화물선,,13,2,7,,,,Y,Y,,
부산,UBLY5,SHANTAR,2023,003,최종,외항,출항,"1,135",2023-08-20 11:00,2024-02-28 08:00,2024-02-28 07:00,2024-02-29 10:02,기타,24SEVEP888E,MK5,01,감천 5부두 1선석,SLAVYANKA,부산,원양 어선,,21,17,15,,,,Y,Y,,
부산,110124,삼성호,2023,013,최종,내항,출항,92,2023-08-25 15:30,2024-04-03 12:55,,2024-11-26 11:08,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,1,1,0,0,0,0,0,N,N,,
